Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
56.3719; 2.95204; 57.7855; 3.16055; 59.5845; 3.44734; 61.555; 3.79143; 64.1196; 4.29118
56.8885; 3.02659; 58.2791; 3.23677; 60.0473; 3.52523; 61.9823; 3.87046; 64.4982; 4.37035
57.3958; 3.10164; 58.7639; 3.31343; 60.5019; 3.60347; 62.4022; 3.94973; 64.8706; 4.44964
57.8941; 3.17717; 59.2401; 3.39049; 60.9486; 3.68204; 62.815; 4.02923; 65.2369; 4.52903
58.3836; 3.25314; 59.7079; 3.46795; 61.3876; 3.7609; 63.2207; 4.10894; 65.5973; 4.60852
58.8644; 3.32954; 60.1675; 3.54576; 61.8189; 3.84004; 63.6196; 4.18884; 65.9518; 4.68809
59.3367; 3.40635; 60.6191; 3.62392; 62.2428; 3.91945; 64.0118; 4.2689; 66.3007; 4.76772
58.9945; 3.35052; 60.3742; 3.58132; 62.093; 3.8912; 63.9362; 4.25335; 66.2846; 4.76402
58.1162; 3.21141; 59.651; 3.45842; 61.5486; 3.79025; 63.5637; 4.17755; 66.0943; 4.72045
57.1838; 3.07005; 58.8493; 3.32713; 60.9048; 3.67424; 63.0846; 4.08202; 65.8143; 4.65706
56.2669; 2.93711; 58.0485; 3.20094; 60.2433; 3.55876; 62.5705; 3.98195; 65.4889; 4.58448
55.3745; 2.81325; 57.2635; 3.08189; 59.5865; 3.44768; 62.0485; 3.88284; 65.1416; 4.50824
54.5069; 2.69784; 56.4965; 2.96985; 58.9402; 3.34175; 61.5284; 3.78656; 64.7846; 4.4312
53.6633; 2.59017; 55.7475; 2.86437; 58.3056; 3.24093; 61.0139; 3.69365; 64.4243; 4.35478
52.843; 2.48958; 55.0161; 2.76498; 57.683; 3.14495; 60.5062; 3.60421; 64.064; 4.27967
52.045; 2.39549; 54.3016; 2.67124; 57.072; 3.05353; 60.0056; 3.51815; 63.7053; 4.20621
51.2687; 2.30737; 53.6037; 2.58273; 56.4724; 2.9664; 59.5122; 3.43533; 63.3493; 4.13452
50.5133; 2.22474; 52.9218; 2.49908; 55.884; 2.88331; 59.0259; 3.35561; 62.9963; 4.06465
49.7782; 2.14716; 52.2556; 2.41997; 55.3064; 2.80402; 58.5465; 3.27884; 62.6464; 3.99657
49.0627; 2.07425; 51.6044; 2.34508; 54.7395; 2.72831; 58.074; 3.20489; 62.2998; 3.93025
48.3661; 2.00565; 50.968; 2.27412; 54.183; 2.65598; 57.6083; 3.13362; 61.9566; 3.86565
47.6879; 1.94104; 50.3459; 2.20683; 53.6366; 2.58683; 57.1491; 3.06492; 61.6165; 3.80271
47.0274; 1.88011; 49.7378; 2.14298; 53.1001; 2.52069; 56.6964; 2.99866; 61.2798; 3.74137
46.384; 1.82261; 49.1432; 2.08233; 52.5733; 2.45739; 56.2501; 2.93473; 60.9462; 3.6816
