move_time_iter: 180
free_time_iter: 180
move_time_iter: 180
free_time_iter: 150
move_time_iter: 180
free_time_iter: 120
move_time_iter: 180
free_time_iter: 90
move_time_iter: 180
free_time_iter: 60
Toil_free60; Alfa_free60; Toil_free50; Alfa_free50; Toil_free40; Alfa_free40; Toil_free30; Alfa_free30; Toil_free20; Alfa_free20
15.7468; 0.607818; 15.7468; 0.607818; 15.7468; 0.607818; 15.7468; 0.607818; 15.7468; 0.607818
15.3166; 0.603516; 15.3166; 0.603516; 15.3166; 0.603516; 15.3166; 0.603516; 15.3166; 0.603516
14.9316; 0.599666; 14.9316; 0.599666; 14.9316; 0.599666; 14.9316; 0.599666; 14.9316; 0.599666
14.5868; 0.596218; 14.5868; 0.596218; 14.5868; 0.596218; 14.5868; 0.596218; 14.5868; 0.596218
14.278; 0.59313; 14.278; 0.59313; 14.278; 0.59313; 14.278; 0.59313; 14.278; 0.59313
14.0014; 0.590364; 14.0014; 0.590364; 14.0014; 0.590364; 14.0014; 0.590364; 14.0014; 0.590364
13.7536; 0.587885; 13.7536; 0.587885; 13.7536; 0.587885; 13.7536; 0.587885; 13.7536; 0.587885
13.5315; 0.585665; 13.5315; 0.585665; 13.5315; 0.585665; 13.5315; 0.585665; 13.5315; 0.585665
13.3324; 0.583674; 13.3324; 0.583674; 13.3324; 0.583674; 13.3324; 0.583674; 13.3324; 0.583674
13.154; 0.58189; 13.154; 0.58189; 13.154; 0.58189; 13.154; 0.58189; 13.154; 0.58189
12.9941; 0.580291; 12.9941; 0.580291; 12.9941; 0.580291; 12.9941; 0.580291; 12.9941; 0.580291
12.8508; 0.578858; 12.8508; 0.578858; 12.8508; 0.578858; 12.8508; 0.578858; 12.8508; 0.578858
12.7223; 0.577573; 12.7223; 0.577573; 12.7223; 0.577573; 12.7223; 0.577573; 12.7223; 0.577573
12.6071; 0.576421; 12.6071; 0.576421; 12.6071; 0.576421; 12.6071; 0.576421; 12.6071; 0.576421
12.5038; 0.575388; 12.5038; 0.575388; 12.5038; 0.575388; 12.5038; 0.575388; 12.5038; 0.575388
12.4112; 0.574462; 12.4112; 0.574462; 12.4112; 0.574462; 12.4112; 0.574462; 12.4112; 0.574462
12.3282; 0.573632; 12.3282; 0.573632; 12.3282; 0.573632; 12.3282; 0.573632; 12.3282; 0.573632
